MCST No:,UEN:,Date of MC Constitution:,Development Name:,Status:,Development Location:,MC Address:,MC Contact No.:,Name of Managing Agent:,Managing Agent Contact No.:
3989,T13MC0112B,25/11/2013,THE LUCENT,Active,99 LORONG N TELOK KURAU SINGAPORE 425251,"99 LORONG N TELOK KURAU
#01-02 THE LUCENT
 SINGAPORE 425251",9343 6489,PATERRA MANAGEMENT PTE LTD,9343 6489
3990,T13MC0111F,20/11/2013,La Brisa,Active,50 LORONG 28 GEYLANG SINGAPORE 398453,"50 LORONG 28 GEYLANG
#02-01 LA BRISA
 SINGAPORE 398453",67833853,Summit Property Management Pte Ltd,67833853
3992,T13MC0104L,28/10/2013,LUXE VILLE,Active,336 PASIR PANJANG ROAD SINGAPORE 118668,"338  PASIR PANJANG ROAD
#01-12 LUXE VILLE
 SINGAPORE 118668",91390756,A4 International Pte Ltd,98537084
3993,T13MC0115A,03/12/2013,CENTRAL LINK,Active,8 JALAN KILANG BARAT SINGAPORE 159351,"8 JALAN KILANG BARAT
#01-08 CENTRAL LINK
 SINGAPORE 159351",67346110,Barringham International Property Management Pte Ltd,64664703
3994,T14MC0020G,05/03/2014,448@EAST COAST,Active,448 EAST COAST ROAD SINGAPORE 429021,"81 UBI AVENUE 4
#09-05 UB.ONE
 SINGAPORE 408830",64436039,Focus Strata Management Pte Ltd,64436039
3995,T13MC0098E,09/10/2013,NV RESIDENCES,Active,83 PASIR RIS GROVE SINGAPORE 518211,"97 PASIR RIS GROVE
#01-43 NV RESIDENCES
 SINGAPORE 518193",65436025,D'Proman & Co. Pte Ltd,65436025
3996,T13MC0110K,20/11/2013,FIVE CHANCERY,Active,5 CHANCERY LANE SINGAPORE 309493,"5 CHANCERY LANE
#00-00 FIVE CHANCERY
 SINGAPORE 309493",62218288,SRE Global Pte Ltd,62218288
3997,T13MC0100E,18/10/2013,THE VERVE,Active,23 JALAN RAJAH SINGAPORE 329138,"23 JALAN RAJAH
#14-05 THE VERVE
 SINGAPORE 329138",84946740,Ocean IFM Pte Ltd,84946740
3998,T13MC0091L,16/09/2013,TIVOLI GRANDE,Active,126 KOON SENG ROAD SINGAPORE 427059,"126 KOON SENG ROAD

 SINGAPORE 427059",8222 5353,Ace Decision Facilities Management Pte Ltd,82225353
3999,T15MC0113H,06/10/2015,HILLSGROVE,Active,5 HILLSIDE DRIVE SINGAPORE 548922,"4 KAKI BUKIT AVENUE 1
#05-02 
 SINGAPORE 417939",68861936,Ocean IFM Pte Ltd,68861936
4000,T13MC0109B,13/11/2013,ATRIX,Active,82 LORONG 23 GEYLANG SINGAPORE 388409,"82 LORONG 23 GEYLANG
#01-08 ATRIX
 SINGAPORE 388409",84946740,Ocean IFM Pte Ltd,84946740
4001,T14MC0028H,14/03/2014,SUITES DE LAUREL,Active,2 JALAN ANAK BUKIT SINGAPORE 588997,"2 JALAN ANAK BUKIT
#05-19 SUITES DE LAUREL
 SINGAPORE 588997",98631123,Melana International Pte Ltd,98631123
4002,T14MC0003G,13/01/2014,LEICESTER SUITES,Active,10 LEICESTER ROAD SINGAPORE 358844,"10 LEICESTER ROAD
LEICESTER SUITES
 SINGAPORE 358844",86610843,D'Proman & Co. Pte Ltd,86610843
4003,T13MC0097J,04/10/2013,THE ESTUARY,Active,85 YISHUN AVENUE 1 SINGAPORE 769132,"85 YISHUN AVENUE 1
#01-41 THE ESTUARY 
 SINGAPORE 419154",MR Rener Kay,Empire City Consultant Pte Ltd,MR Rener Kay
4005,T13MC0119G,11/12/2013,BARKER 9,Active,9 BARKER ROAD SINGAPORE 309873,"9 BARKER ROAD
BARKER 9
 SINGAPORE 079019",62232232,Sin Heng Chan Pte Ltd,62232232
4006,T13MC0114E,28/11/2013,SUITES@KATONG,Active,263 TANJONG KATONG ROAD SINGAPORE 437050,"263 TANJONG KATONG ROAD
SUITES@KATONG
 SINGAPORE 387866",8118 8732,Ocean IFM Pte Ltd,8118 8732
